Unnamed: 0	urlDrugName	rating	effectiveness	sideEffects	condition	benefitsReview	sideEffectsReview	commentsReview
3619	retin-a	2	Marginally Effective	Mild Side Effects	acne	Occasionally, acne would subside slightly.	Excessively dry skin and irritation	I was to apply the Retin-A cream twice a day but the side effects outweighed any effects of treatment.
3476	ambien-cr	1	Ineffective	Extremely Severe Side Effects	insomnia	None.  It didn't help me sleep.  I was cranky the next day, depressed, and tired.	I took it for 2 days.  The third day I didn't take it.  Which was tonight.  I keep waking up because my subconsious is terrified of something.  I keep hearing things in my sleep.  I am terrified to go back to sleep. My heart is pounding from the horrible things I keep hearing in my sleep.  I never had this until taking this medication. I think I may miss a day of work tomorrow from not being able to sleep.  I wish someone was here with me so I wouldn't be so afraid to go back to sleep but the sounds I keep hearing are so terrifying.	My doctor gave me some samples for insomnia.
556	doryx	1	Ineffective	Moderate Side Effects	acne	None!	Hair loss! More Acne!	Please dont take this medicine it made my acne horrible! I only had mild acne in my chin area. After taking this medicine it made my acne worst like never before in my life. I started getting severe acne all over my face!Now I have ugly acne and scaring and before this horrible medicine I only had ugly chin acne!I feel so depressed! I dont want to live any more!
440	avodart	7	Considerably Effective	Mild Side Effects	hair loss	The treatment stopped hair loss and caused some regrowth. Some loss of effectiveness (I beieve due to worsening of underlying condition), but adding a topical solution corrected this.	Difficult to know. May have been slight reduction in libido, and occasional mild depression/anxiety, but not sure about these.	"""I am 68 and have been using Avodart and Tamusolin together now for about a month.  A serious side effect suffered is extreme difficulty obtaining an erection and/or ejaculation.  A minor side effect has been light-headedness.  At my age the serious side effect does not really bother me but being light-headed is a concern in my employment as a transit driver.  I believe the Tamusolin is the light-headedness culprit but my doctor does not want me to continue it much longer."""
2412	synthroid	9	Highly Effective	No Side Effects	hypothyroidism	i have mild hypothyroidism, so i wasn't necessarily aware of what having an underfunctioning was doing to my body.  still, i was able to detect changes (for the better) after taking synthroid for a few months.  the primary benefit i aw was HIGHLY HIGHLY improved concentration, which has made school/work such a pleasure.  i think my metabloism also improved slightly.	none, as far as i could see.	take your pill everyday at the same time.  i found that morning is best, because you need to wait an hour to eat after taking the pill.  i take it right when i wake up, then get ready, and then have breakfast right at the one hour mark.
230	wellbutrin-xl	1	Moderately Effective	Severe Side Effects	lose weight	Positive- increased libido	Negative- 1)significant increase in breast pain on one side, leading to bloody discharge after only 2 weeks of taking drug 2)'coursing' feeling through veins on same side as breast pain 3)humongous hard pimple formed near nose.	Discontinued treatment due to side effects.  I would consider taking again if the negative side effects were noted in literature as temporary and insignificant over the long term
3716	lamictal	8	Considerably Effective	Mild Side Effects	bipolar disorder and depression	I'm feeling more grounded; highs and lows are less extreme.  You could say that my emotional 'playing field' is more level.	"There's one 'side effect' - and I'm purposely and playfully/sarcastically placing it within quotes:  this stuff has increased my sex-drive manyfold! I don't know if this has been the case with other patients, and I'm curious to know if anyone else has had that experience.
I'm also presenting with a little 'feathery tickle', resulting in an annoying dry cough; perhaps this side effect will lessen as my body adapts to the medication."	"""I am bipolar 2 and take 300mg per day.

Has changed my life so much. Helped me kick my alcohol addiction and impulsiveness. The last two years have been great.

No drug is perfect however, and the withdrawals can be bad. Make sure you take it every day. So I gave it an 8 because I feel great if I keep up with it.

I take it right after I wake up because it helps wake me up and gives me energy. Also makes me very patient with myself, other people and just life in general throughout the day.

At my current dosage I wouldn&#039;t hesitate to call it a smart drug for me because it lessons my impulsive tendencies and quickness to anger.

If this doesn&#039;t work for you, don&#039;t fret, I study medicine, and there is usually always something available to help."""
2888	avita	3	Marginally Effective	Moderate Side Effects	wrinkles	There were no treatment benefits--See below--I hoped to begin to see some effects after several months but because I had so much difficulty with it I gave up.	My skin became so irritated and red that I stopped using it.  I was using just a small amount and still had trouble with irritation and small, watery itchy bumps appearing, primarily around my nose and mouth.  The prescription strength was probably too high and because it was purchased in Mexico it also may not have been from a trustworthy source.	I had used Differin in the past with good results but was considerably younger then--in this last round I tried it hoping to reduce wrinkles but couldn't proceed with using it due to irritation etc.
1260	provigil	9	Considerably Effective	No Side Effects	narcolepsy	"improvement in daytime wakefulness without the ""peaks and valleys"" previously experienced taking prescription Ritalin for this condition. There's no excessive nervousness or feeling like I'm taking speed.  I just don't feel like I'm going to fall asleep."	None that I'm aware of.  I am starting to wonder if it has effected the health of my gum tissue, but there is no documented evidence to support that.	Once daily medication to deter excessive daytime sleepiness associated with sleep disorder Narcolepsy.  Downside of it is that it is VERY expensive.
4097	chantix	7	Considerably Effective	Moderate Side Effects	smoking cessation	This drug blocked the receptors for nicotine, so the cravings were extremely diminished. The dosage was increased over a week, so the physical withdrawal symptoms were decreased slowly.	The worst side effect was nausea.  When I reached the twice daily dose, I was nauseated most of the day. It was much better when I cut the pills in half and took them several times a day with plenty of liquid and food.  The other side effect is constipation. A low dose of a laxitive is helpful with this.	"I have quit smoking many times.  This time with Chantix has been the smoothest. 
The physical withdrawal was easier than times in the past.  I was somewhat irritable for a few days, but nothing severe.  The nausea and constipation were annoying, but I was able to work around them. The mental obsession of this addiction is still present at times, but no pill is going to make that go away. It has gotten easier with time."
3847	voltaren	10	Highly Effective	No Side Effects	osteo arthritis	Without the Voltarin, every step I take makes my joints feel like cracking glass and they ache constantly. This drug greatly reduces that pain throughout the entire day.	I have experienced No side effects to date	I've had total joint replacement in both hips due to effects of osteo arthritis.
3442	tazorac	6	Moderately Effective	Moderate Side Effects	adult acne/wrinkles	After skin finally healed - treatment areas were improved.	My skin became very red and dry and was difficult to cover-up while it was healing.  Skin also became itchy as it was dry and tight.  My skin is normally very resilient and I get chemical peels and use Obaji products.	I applied a pea size amount nightly to my face.  The gel was greasy and does not dry like a lightweight gel.  My RX Insurance did not cover any amount of the product - I had to pay full price for the prescription.
3756	spironolactone	6	Considerably Effective	Moderate Side Effects	acne	it decreased my acne but never acne free,less oily skin,	irregular menstruation every 20 days,eczema on hand and face and hair loss and hair thinning when taking 100 mg  thats why i stopped taking the drug.	i dont recommend it for acne more than 50 mg a day hair thinning really made me scared of the drug,
2163	zyrtec	9	Considerably Effective	Mild Side Effects	allergies	I am able to go along my day without sneezing, itching, watery eyes, and runny nose. It has alleviated my symptoms except for a slight cough.	None.	I have allergies that were getting progressively worse so I needed something to help me get through the day. I took benadryl without consulting my doctor which helped but the drowsiness was unmanageable. So my doctor told me to try zyrtec and I feel like it has helped tremendously. I only have a slight cough throughout the day but it is manageable. I wish it would take my cough away as well but I can deal with it. I take 10 mg in the morning but my doctor said to take it at night because it might cause drowsiness. It hasn't caused me drowsiness so I take it in the morning because it is easier to remember.
3112	ortho-tri-cyclen	8	Highly Effective	Mild Side Effects	birth control	Well, I never had sex without a condom, so I wouldn't really know. But, I guess it would be okay. not many people seem to have many problems with it.	really moody.	It's sorta hard to remember to take it, but its alright. I'm really not liking the moodiness though. little things really get on my nerves.
787	ambien	9	Highly Effective	Mild Side Effects	insomnia	treated the insomnia effectively.	morning residual effects, drowsiness. tendency for dependency.	take one as needed for insomnia. I took it every night. When it was gone, I discontinued use, as I felt that I was becoming dependent on this product.
1658	evoclin	5	Moderately Effective	No Side Effects	acne	The acne cleared up but the evoclin was used in combination with proactiv.  Proactiv was used before and then started getting acne again. Then I was given evoclin and used both and the acne cleared up and the whiteheads and blackheads disappeared.  there was also a increase in the softness and suppleness of the facial skin.	As far as I know there are no side effects.	I wash with proactiv in the morning and at night. I apply the evoclin at night only.
816	ambien	1	Ineffective	No Side Effects	insomnia	none	none	i went to my doctor because i was getting only 4 hours of sleep a night for the past 6 days, so he gives me one pill, yes that's right just one 10mg pill. anyways i took it at 10pm and its now 4:30 in the morning and i still cant sleep which is why im here to review this. and i have to been into work by 6am aaaaarrrgh!
3755	spironolactone	5	Moderately Effective	Extremely Severe Side Effects	acne	Overall reduction in the severity of breakouts.	Extreme fatigue. For the first week I became so tired that immediately after coming from work I'd go to bed. I cut back to one pill a day and have greatly improved. Haven't had the nerve to work back to 2 pills a day due to the last reaction.	Take one pill after dinner. Wash face with medicated facewash. Use Retin-A micro in conjunction with spironolactane.
2686	prinivil	8	Considerably Effective	Mild Side Effects	high blood pressure	this drug lowered my mild hypertension to normal range	slight cough, especially at night	I was prescribed this dose five years ago.  I have been taking it daily ever since.  It works.  Ordinarily, when I check my blood pressure, it is in the normal range.  The common side effect, caused by excess production of mucus, is no big problem.
1064	botox	10	Highly Effective	No Side Effects	wrinkles	Very effective in treating wrinkles by relaxing muscles - highly recommend by trained professional.  No down time, immediate results.  Very pleased with the outcome.	Minimal, but sometimes mild head aches occured for short period of time.	Injections in local area: 20 - 30 units per treatmentat 6 - 8 mth intervals.  Always administered by qualified professional.  Expensive, but well worth it.
3561	differin	10	Considerably Effective	No Side Effects	acne	The pimples become dry. At first there was formation of new pimples, but then pimples started gradually go away; overall the skin started looking healthier and cleaner.	some bearable feeling of heat/burning	applied the gel in the morning and at night on nose, cheeks, forehead, and chin.
153	nizoral-shampoo	9	Highly Effective	No Side Effects	dandruff	Skin irritation and dandruff were eliminated after third use.	none	Shampoo twice a week for at least three weeks. Apply on wet hair, massage with fingers and leave a product on the skin for about 5-10 minutes, then wash off with warm water. Do not use any conditioner after washing.
2280	lexapro	7	Considerably Effective	Mild Side Effects	depression	The drug was able to improve my depression and create balance in my life over the long run	Some memory problems and a bit of difficulty sleeping	The details are I take a pill once a day and have for the past several years and intend to continue in the future
2984	strattera	3	Marginally Effective	Severe Side Effects	adhd	could focus slightly better in school and also at home	very high dialostic blood pressure, weight loss, fatigue	slightly increased attention in a 13 year old girl suffering with ADHD (predominately inattentive) and aspergers syndrome but had bad side effects so was taken off medication and switched to Adderall XR instead
1290	zocor	10	Highly Effective	Mild Side Effects	high cholestoral	Brought down my overall cholestorol reading from 218 to 150, LDL from 135 to 90 and triglycerides from 180 to 140 within 3 months time.	I had soreness of muscles for the first several weeks which finally went away.	"""I am currently on 20mg Zocor and started taking it six months ago. After I got my cholesterol checked again, the LDL went down 90 points! No side effects."""
1712	retin-a-micro	7	Considerably Effective	Mild Side Effects	acne	At first, the acne on my face just went away. It's best for when you use it only once in a while.	I got my prescription for Retin-A Micro refilled about 2 months ago because it worked so well that I ran out of it! Now when I get acne and I apply the cream before bed, I wake up and there's no difference. The acne's still as big and as red as before. My skin must've gotten used to it or something, because it doesn't get rid of my acne.	I apply it before bed each night and the acne's still the same. It worked great at first, but now I don't use it anymore.
2189	clonazepam	8	Considerably Effective	Mild Side Effects	sleep walking/talking	This drug is very effective in making me sleep well, and works as a paralytic on my brain to keep me from sleep walking/talking.  It has also cut down on my migraines since I started taking it.	Daytime drowsiness, highly addictive, bad withdrawal symptoms which caused terrible insomnia.	I took 1mg at night (up from an initial 1/2 mg dose) before bed as a treatment for sleep walking/talking and the inability to progress to deep sleep. This medicine worked great at first, but after 6 months I was no longer seeing a benefit.  The doctor took me off of it for 2 weeks as a drug holiday to let my brain rest, and had to put me on another med during that time because I had terrible insomnia as a result of withdrawal (I have never had insomnia in my life).  I do have some short term memory problems, but overall saw a bigger benefit to feeling better and an increased quality of life to stop taking the drug.
1434	tirosint	1	Ineffective	Moderate Side Effects	hypothyroidism	No improvement at all in symptoms.	Over the past few months I have developed borderline hypertension, increased bruising, my hair texture and skin continue to worsen.	At 14 I was diagnosed with hyperthyroidism and this was corrected through medication (thyroid disorders are prevalent in my mother's family).  I was diagnosed with hypothyroidism (TSH 14.5) this past December and evidence of an auto immune disorder.  Since, I have been on 50mcg daily, my TSH tests normal but  there has been no improvements in symptoms.
2737	elavil	5	Moderately Effective	Moderate Side Effects	depression and anxiety	i do not take as long now to get to sleep where i used to lay awake most of the night tossing and turning i do feel more relaxed as  i now can go on short jorneys on my own which i could not before they have helped me through	drowsy confused hangover feeling nervous when getting out of bed for the first 2 or 3 hours weight gain craving for sweet things tired	50mg 1 to take at night
2503	naprosyn	8	Considerably Effective	No Side Effects	ankylosing spondylitis	"enables me to get on with my life and be mobile. without it my back and neck become ""stiff"" so I also combine taking the drug with daily exercise to keep myself as fit as is possible. my condition was inherited from my father."	none that I know of.	"""Had a pain in left knee develop rather quickly. I am 70 and Dr. said was most likely arthritis. Prescribed Naproxyn and it worked very well for that knee. I have a bad right knee also that has been bad for 30 years and is getting worse. I hoped it would too get some relief but it has not. Curious about that. No noticeable side effects."""
3960	prilosec	10	Highly Effective	No Side Effects	acid reflux	It completely eliminated all heartburn symptoms.  I am able to eat what I want whenever I want.  This is after nearly 2 years (before going on the drug) of trying to change my diet and lifestyle but no matter what I did, I could not find relief of constant, daily heartburn.  My days used to revolve around juggling over the counter heartburn medicines. This drug finally gave me relief.	No side effects.	"""Prilosec replaced a treatment that consisted of 800 mg Cimetidine about a week ago and seems to be doing the trick nicely."""
313	lasix	7	Considerably Effective	Severe Side Effects	congestive heart failure and edema	When I was first on the 20 mg dosage, there was no apparent benefit. When the dosage was upped to 40 mg, there was dramatic reductio of the edema. Then I had mitral valve surgery and took no Furosemide for a while, but eventually the edema returned and the 20 mg dosage helps some. (see side effects)	I am not aware of any most of the time. However, after my surgery they kept me on 40 mg and I began having dizziness and severe general malaise in the mornings after taking it. (See treatment details.)	"""I have been using Lasix in combination with Hydrochlorothiazide for 6 months for pitting edema/hypertension and it&#039;s effects seem to have worn off. I started on 20mg once a day for 2 months then up to 40mg once a day for the last 4 months. Now my legs are back to swelling as much as if I were taking nothing. My blood pressure is good though. Side effects, headaches."""
2837	singulair	10	Highly Effective	No Side Effects	allergies	Drastic reduction of sinus infections, from 3-4 per year down to 1 or less. My 23 year old daughter takes it with the same results.	None that I am aware of.	Take daily, even if you think you don't need it. After using for several years, I experimented by going off of it, frequency of sinus infections increased to what it had been.
2219	allegra	9	Highly Effective	Moderate Side Effects	allergies	Allergic reactions stopped almost immediately	Very dry skin and hyperactivity	Took medication when symptoms arose, stopped when subsided
2527	diflucan	3	Marginally Effective	No Side Effects	candida caused yeast infection	The yeast stopped coming out in chunks, but was more watery like... Still yeast tho so I wasn't pleased...	Didn't have any side effects	"""Diflucan caused me to break out with a rash in my face and on my arms, neck, and back within two days of starting it. Therefore I can&#039;t honestly rate its effectiveness so good luck."""
3098	triphasil	10	Highly Effective	No Side Effects	contraception	General Medical:  The treatment is for contraception.  I used it for weight control, skin problems and as a contraception, it was very effective for all of it except that when i left the medication I experienced severe hair loss which i was not warned about	severe hair loss after terminating the pill, but no others whilst on it	Daily dose usually taken at night
1261	provigil	10	Highly Effective	No Side Effects	excessive fatigue	As a medical professional (newly graduated medical student now in first year of residency), I am able to feel more alert and focused during the day even after having been up all night.  As free time is scarce in residency, I am now able to study when I would otherwise be too exhausted to do anything.	I really did not have any side effects.  It has been reported that headache is common, however I did not experience that at all.  I did not have any problems with my sleep schedule either.	Recommended dose is 200mg once a day, can also be taken again in the afternoon if needed.
876	paxil	2	Moderately Effective	Mild Side Effects	recovery from a brainstem stroke	to treat depression commonly caused by stroke. They say stroke and being a woman, 99% chance of depression, like a roller coaster early on..	Made me feel like a zombie, slowed me in my emotional resilancy recovery and I also gained 10 lbs pretty fast..	To help me thru the early stages of the grief process in stroke recovery, which I guess it did, my emtotions were volatile at times, very hard time emotionally for a bit.  But I hated the numb feeling it gave me and worried me how I would react (if it would be too slow) if my kids had some sort of emergency..they were 5 and 6th grade at the time.
1413	adipex-p	7	Considerably Effective	Mild Side Effects	obesity	"It was able to supress my hunger enough to ""get through"" the tough times and not be so grumpy about it :)  Simply, I was not STARVING all the time, and it made the weight loss bearable.  It was not EASY, but it gave me the drive to keep going because I wasn't so miserable while doing it. I ate a 1200 calorie a day or less diet and exercised many times a week...so I would have lost weight anyway, but it just made it easier."	Dry mouth, constipation at times, sometimes felt a bit like my heart raced under stress after taking it for a long time.	"""I have been taking this medication for OVER 7 weeks and I have only lost 4 lbs. I barely sleep, even if I take the pill at 6:30 am, and I do have to drink water often due to the dry mouth. The one great thing that I have noticed though, is that I no longer have those uncontrollable cravings for junk food."""
2852	albuterol	10	Highly Effective	No Side Effects	asthma	I could breathe, and if I took it before exercise, I wouldn't need it during.	none noticed	I have been taking albuterol for years. I take it when I feel tight in my chest as well as before exercising. I rarely use it, whereas I used to nee dit almost every day. Now... once every month or two, unless I'm exercising.
3078	minocycline	6	Moderately Effective	Moderate Side Effects	acne	The Sulfer drug helped reduce abdominal inflammation and reduced pain felt with Crohn's flare ups.	No side effects were noted.	Sulfasalizine was taken three times daily. As I began to wean off the drug, I moderated how much I was taking in regards to the pain and inflammation I was feeling. I am currently off the drug and take no medication for Crohn's.
2330	fosinopril	4	Considerably Effective	Moderate Side Effects	high blood pressure	Blood pressure was controlled with the same dose as the former drug I used, MiCARDIS. My insurance would not cover it and I started using fosinopril. I didnt think I had adverse effects from it until someone pointed out my dry constant cough.	I developed a dry cough and it seemed to get persistently worse as months went by. I didnt realize the cough could be a side effect from the drug, but as soon as I replaced it with Benicar, the symptons disappeared.	I took the drug once daily in the morning and outwardly I felt no discomfort at all. Blood pressure was controlled. I took this drug approximately one year before starting Benicar and losing the symptom of coughing.
2333	propecia	10	Highly Effective	No Side Effects	hair loss	Hair regrowth in crown area	there were none	One pill taken orally daily
4152	klaron	8	Considerably Effective	No Side Effects	acne	reduced acne	none	applied topically once daily
3706	ranitidine	8	Considerably Effective	No Side Effects	acid reflux	completely stopped all heartburn.  do occassionally have an acidic taste in my mouth in the morning, so I suspect that there may be a small amount of reflux still occurring.	none	"""It really worked very well. I had silent reflux disease, I feel better now. I took Ranitidine 150 mg every night, NOT twice a day as prescribed. One tablet before bedtime has done wonders."""
2761	risperdal-consta	9	Considerably Effective	No Side Effects	psychotic symptoms	Psychotic thoughts went away.  No longer thought people were out to get me.  Became less suspicious of people.  Iritability decreaed while on this medication.  This medication has worked wonders for me.	None at all for me.  I have tolerated this medication very well.	Started this medication in October 2008 for my suspiciousness of people (thought people were out to get me).  Began at 0.25 mg once a day for a week, then increased to 0.5 mg a day at night.  3 weeks later (1 month from the time of starting risperidone), increased to 1 mg every night.  Stayed on 1 mg for a few months when the symptoms came back.  Dose increased to 1.5 mg a day.  Depression set in (for outside life factors...not due to medication) and fluoetime added at 10 mg a day and risperidone decreased to 1 mg a day due to flueoxetine increasing the levels of risperidone.  Depression still there and psychotic symptoms came back.  At next vist (1 month) flueoxetine increased to 20 mg every morning and risperidone increased back to 1.5 mg a day.  Two months later psychotic symptoms would come back in the middle of the day (as if the medication was wearing off).  Rispreridone dosage changed to 1 mg twice a day.  Which is still the current dosage I am on.
1234	asacol	6	Considerably Effective	No Side Effects	crohns disease	Less flair ups of the crohns disease. Less diarhea and cramping.	no side effects evidentent	"""tired feeling, abdominal pain, tingling in hands and feet, 4 tablets a day."""
2816	wellbutrin	9	Considerably Effective	Mild Side Effects	depression	"I feel much better emotionally.  I was unable to get out of bed before I started treatment, and now I am back to having an interest in life.  It doesn't make me nauseous, which is a huge plus as far as I'm concerned.  I like that it doesn't cause weight gain or sexual side effects.
I was happy that it only made me feel mildly nauseous for a day or so.  I feel nearly back to normal emotionally.  I was concerned that it made my hands quite shaky for awhile, but after a reduced my caffeine intake, that subsided.  My only complaint is that it makes my ears ring.  All the time.  It is generally easy to ignore during the day, but I have found that I need a fan and a white noise machine set to a high pitch sound (like crickets) in order to be able to ignore it enough to sleep."	"It did make me mildly nauseous for the first day that I was on it. After that, all good.  It made my hands very shaky for awhile, but that seems to have subsided for the most part, particularly since I cut my caffeine intake.  Given that it's an amphetamine derivative, it make since that adding another stimulant might lead to side effects.   

My only complaint is that it makes my ears ring.  All the time.  It is generally easy to ignore during the day, but I have found that I need a fan and a white noise machine set to a high pitch sound (like crickets) in order to be able to ignore it enough to sleep."	Started out on one extended release tablet at 150 mg once per day.  After 4 weeks bumped up to 300 mg dose.
2393	synthroid	10	Highly Effective	No Side Effects	hypothyroid	with the treatment I feel less tired and more energetic.I comeback to my normal weight and I stop losing my hair. Also I do not get cold as I use to.	I did not have any side effects after the doctor find the right dosage I was able to function like I used to before I have the symptoms of the hypothyroid.	I take one tablet everyday in the morning in a empty stomach around the same time and I wait an hour before I eat. Sometimes I can only wait 30 minutes and it does not seems to alter the effect of the medication.
1734	topamax	9	Considerably Effective	No Side Effects	weight loss	Topamax decrease my appetite significantly.  I lost an average of 15 pounds per month while taking the 50 mg/day. I had no side effects during the course of the treatment, the only real drawback was the need to taper off the drug slowly rather than just being able to stop taking it.	I experienced no side effects.	"IT took a month to find the correct dosage for me, since the doctor started out at lower dosages and worked up to the 50/mg per day.  
As I neared a better weight, the doctor began tapering off and the weight loss significantly slowed and in fact stopped before I was able to stop taking the medication."
546	propranolol	6	Moderately Effective	No Side Effects	panic attacks	I felt less anxious when doing presentations.  I took it before I was ready to perform to prevent a panic attack.  I felt like it calmed me down	I didn't feel like I had any.  I felt the same before and after taking the drug.	"""Reasonably safe and fast-acting drug in my opinion. I don&#039;t take these much anymore; rather here and there for things like interviews or XR for days that I know will involve agitation.I wouldn&#039;t suggest them for long-term use; not necessarily because side effects - but largely because, as someone with depression, it seemed to make it worse; i.e. I felt slightly more &#039;flat&#039; and as if I was sinking lower on them. That said, pathology of depression varies a lot as does individual biology - so not everyone will have this problem. If you&#039;re looking at using them long-term you&#039;re best giving a few antidepressants a go. Otherwise, these have that wee bit of mild physical sedation ergo less hectic mental focus that can be handy here and there."""
552	doryx	4	Marginally Effective	No Side Effects	acne	mild facial improvement, healing was faster. Problem persisted. Problem increased upon ceasing of the medication.	none	once daily doryx, a time release version of doxycycline. It is a much more expensive version and when the insurance stopped paying for it the cost was prohibitive, like ten dollars per day. You could opt for the twice daily generic doxycycline, the manufacturer claims this is more effective.
